study,brand,brand_variation,audience,category,sector,market,year,company,study_id,brand_id,brand_variation_key,audience_id,category_id,sector_id,market_id,year_id,study_period,additional_category,country_of_origin,differentiation_rank,relevance_rank,esteem_rank,knowledge_rank,differentiation_c,relevance_c,esteem_c,knowledge_c,relevance_brandscape_index,knowledge_brandscape_index,relevance_category_index,knowledge_category_index,mib_innovation_rank
"South Africa 2023",Volkswagen,Volkswagen,"All Adults",Automobiles,Auto,"South Africa",2023,"Volkswagen AG 1/10 ADR",697,1028,26,1,2,2,39,31,"Full Year",0,,91.209829867675,90.54820415879,98.771266540643,90.926275992439,0.99617141282042,4.8355814275239,1.3686902087526,5.441949342625,177.54182754183,179.53667953668,192.30769230769,184.61538461538,91.871455576559
"South Africa 2023",Mazda,Mazda,"All Adults",Automobiles,Auto,"South Africa",2023,Mazda,697,103,16,1,2,2,39,31,"Full Year",0,JP,29.395085066163,67.10775047259,78.733459357278,83.837429111531,0.73431947817707,4.1814656158057,0.84010192459193,5.2661971698427,129.66537966538,165.57271557272,123.07692307692,130.76923076923,43.392335452827
"South Africa 2023",Renault,Renault,"All Adults",Automobiles,Auto,"South Africa",2023,"Samsung Electronics Co Ltd",697,951,22,1,2,2,39,31,"Full Year",0,,90.07561436673,57.277882797732,55.198487712665,78.544423440454,0.98850008761609,3.9236693788268,0.63540626763967,5.1352897671461,109.71685971686,153.6036036036,84.615384615385,100,58.996391132497
"South Africa 2023","Land Rover","Land Rover","All Adults",Automobiles,Auto,"South Africa",2023,"Tata Motors Limited ADR",697,756,8626,1,2,2,39,31,"Full Year",0,GB,99.905482041588,74.574669187146,98.960302457467,81.568998109641,1.4370271834556,4.3449473585289,1.4068595899585,5.2271612006116,145.6241956242,159.58815958816,146.15384615385,115.38461538462,95.677951538064
"South Africa 2023","Mini Cooper","Mini (auto)","All Adults",Automobiles,Auto,"South Africa",2023,"Bayerische Motoren Werke AG",697,3197,15528,1,2,2,39,31,"Full Year",0,US,95.652173913043,29.489603024575,30.812854442344,34.499054820416,1.0573576274464,3.3442810255066,0.48826622920034,3.7105618331618,55.855855855856,69.81981981982,7.6923076923077,7.6923076923077,60.293864925244
"South Africa 2023",Jaguar,Jaguar,"All Adults",Automobiles,Auto,"South Africa",2023,"Tata Motors Limited ADR",697,730,14,1,2,2,39,31,"Full Year",0,GB,99.52741020794,61.531190926276,81.852551984877,72.306238185255,1.2803611710032,4.0199321010029,0.88046315098912,4.9967606251319,117.69626769627,141.63449163449,92.307692307692,61.538461538462,81.251074067709
"South Africa 2023",Fiat,Fiat,"All Adults",Automobiles,Auto,"South Africa",2023,"Stellantis NV",697,382,8,1,2,2,39,31,"Full Year",0,IT,76.654064272212,30.056710775047,22.211720226843,54.631379962193,0.90299225723569,3.3537313752757,0.43312281246379,4.4903651926057,57.850707850708,107.72200772201,15.384615384615,30.769230769231,34.404536862003
"South Africa 2023",Toyota,Toyota,"All Adults",Automobiles,Auto,"South Africa",2023,"Toyota Motor Corporation",697,347,25,1,2,2,39,31,"Full Year",0,JP,44.045368620038,82.041587901701,97.920604914934,89.792060491493,0.78465028181891,4.57861300219,1.2986839201306,5.416464926178,161.58301158301,177.54182754183,169.23076923077,176.92307692308,65.26894655439
"South Africa 2023",Ford,Ford,"All Adults",Automobiles,Auto,"South Africa",2023,"Ford Motor Company",697,310,9,1,2,2,39,31,"Full Year",0,,89.413988657845,74.669187145558,93.383742911153,86.48393194707,0.98652380078082,4.3453143340714,1.1136974422264,5.3416528777543,145.6241956242,169.56241956242,153.84615384615,161.53846153846,73.50919401959
"South Africa 2023",Honda,Honda,"All Adults",Automobiles,Auto,"South Africa",2023,"Honda Motor Co Ltd ADR",697,309,12,1,2,2,39,31,"Full Year",0,JP,32.136105860113,43.478260869565,54.820415879017,70.69943289225,0.74327663905195,3.6239345817682,0.63085412727895,4.9467694919631,81.788931788932,137.64478764479,46.153846153846,46.153846153846,24.145042103454
"South Africa 2023",Tesla,"Tesla [automobiles]","All Adults",Automobiles,Auto,"South Africa",2023,"Tesla Inc",697,258,-27755,1,2,2,39,31,"Full Year",0,US,100,32.041587901701,75.23629489603,52.173913043478,1.6475666806977,3.4053576664062,0.79820015464549,4.3902887959244,59.84555984556,103.7323037323,23.076923076923,15.384615384615,99.432892249527
"South Africa 2023",Nissan,Nissan,"All Adults",Automobiles,Auto,"South Africa",2023,"Nissan Motor Co Ltd ADR",697,147,19,1,2,2,39,31,"Full Year",0,JP,31.758034026465,66.351606805293,80.62381852552,85.349716446125,0.7412578666817,4.1578864444813,0.85963074135447,5.3120878522108,129.66537966538,167.56756756757,115.38461538462,138.46153846154,52.087987626739
"South Africa 2023",Haval,Haval,"All Adults",Automobiles,Auto,"South Africa",2023,-,697,38,50725,1,2,2,39,31,"Full Year",0,,99.621928166352,53.024574669187,30.245746691871,52.457466918715,1.3023638935792,3.841747581389,0.48218144423982,4.4068551326902,101.73745173745,103.7323037323,61.538461538462,23.076923076923,90.187317408489
"South Africa 2023",Mercedes-Benz,Mercedes-Benz,"All Adults",Automobiles,Auto,"South Africa",2023,-,697,1044,17,1,2,2,39,31,"Full Year",0,MX,99.432892249527,82.608695652174,99.52741020794,87.807183364839,1.2678069600293,4.5961195212193,1.5449079245109,5.3666558371073,163.57786357786,173.55212355212,176.92307692308,169.23076923077,96.090393538408
"South Africa 2023",BMW,BMW,"All Adults",Automobiles,Auto,"South Africa",2023,"Bayerische Motoren Werke AG ADR",697,1066,2,1,2,2,39,31,"Full Year",0,,96.502835538752,86.294896030246,96.786389413989,94.517958412098,1.0799700727815,4.6858338393084,1.2344179623066,5.5174191913675,169.56241956242,187.51608751609,184.61538461538,192.30769230769,90.092799450077
"South Africa 2023",Audi,Audi,"All Adults",Automobiles,Auto,"South Africa",2023,"Volkswagen AG 1/10 ADR",697,1069,1,1,2,2,39,31,"Full Year",0,,96.691871455577,76.748582230624,92.438563327032,86.389413988658,1.0867801261766,4.4189157191296,1.0950498093647,5.341390396259,151.60875160875,169.56241956242,161.53846153846,153.84615384615,88.296958240247
"South Africa 2023",Volvo,Volvo,"All Adults",Automobiles,Auto,"South Africa",2023,"Volvo Car AB (publ.)",697,1089,27,1,2,2,39,31,"Full Year",0,SE,99.338374291115,53.402646502836,89.035916824197,75.425330812854,1.2417866870925,3.8518043534274,1.0116771824877,5.0621199036935,101.73745173745,147.61904761905,69.230769230769,69.230769230769,90.969238700807
"South Africa 2023",Chevrolet,Chevrolet,"All Adults",Automobiles,Auto,"South Africa",2023,"General Motors Company",697,1181,4,1,2,2,39,31,"Full Year",0,,12.381852551985,39.035916824197,36.294896030246,70.793950850662,0.65568904949279,3.5367674506322,0.51650394170134,4.9491531738675,73.809523809524,137.64478764479,38.461538461538,53.846153846154,14.97680013748
"South Africa 2023",Hyundai,Hyundai,"All Adults",Automobiles,Auto,"South Africa",2023,"Hyundai Motor",697,2040,13,1,2,2,39,31,"Full Year",0,,81.001890359168,70.132325141777,77.788279773157,85.633270321361,0.92250337213756,4.255449854797,0.83233518289791,5.3239759450167,135.64993564994,169.56241956242,130.76923076923,146.15384615385,78.046056023371
"South Africa 2023",Jeep,Jeep,"All Adults",Automobiles,Auto,"South Africa",2023,"Stellantis NV",697,2487,55,1,2,2,39,31,"Full Year",0,,98.298676748582,62.192816635161,79.678638941399,77.410207939509,1.1796567243131,4.0374160532011,0.84802388405744,5.1199404910383,119.69111969112,151.60875160875,100,84.615384615385,79.489603024574
"South Africa 2023","Mitsubishi Vehicles","Mitsubishi Vehicles","All Adults",Automobiles,Auto,"South Africa",2023,-,697,3196,18,1,2,2,39,31,"Full Year",0,JP,91.493383742911,37.712665406427,52.835538752363,61.153119092628,0.9994777995524,3.5163325462577,0.61647659724459,4.7130843431561,71.814671814672,119.69111969112,30.769230769231,38.461538461538,57.707509881422
"South Africa 2023",Isuzu,Isuzu,"All Adults",Automobiles,Auto,"South Africa",2023,"Isuzu Motors Limited",697,3735,645,1,2,2,39,31,"Full Year",0,,71.833648393195,53.875236294896,87.334593572779,78.733459357278,0.88101794402098,3.8590936247078,0.9868765589867,5.1364378196943,101.73745173745,153.6036036036,76.923076923077,107.69230769231,67.013232514177
"South Africa 2023",Kia,"Kia [automobiles]","All Adults",Automobiles,Auto,"South Africa",2023,"Hyundai Motor Company",697,3738,5376,1,2,2,39,31,"Full Year",0,,93.478260869565,64.083175803403,58.412098298677,76.370510396975,1.0204820221671,4.0821104526773,0.65545738284931,5.0901377307143,123.68082368082,149.6138996139,107.69230769231,76.923076923077,68.834851349028
"South Africa 2023","Range Rover","Range Rover","All Adults",Automobiles,Auto,"South Africa",2023,"Tata Motors Limited ADR",697,3743,7015,1,2,2,39,31,"Full Year",0,US,98.582230623819,73.724007561437,95.841209829868,81.758034026465,1.2029706108497,4.3270147427328,1.1726409777686,5.2359371648894,143.62934362934,161.58301158301,138.46153846154,123.07692307692,83.579652861316
"South Africa 2023",Suzuki,Suzuki,"All Adults",Automobiles,Auto,"South Africa",2023,"Suzuki Motocicletas",697,15496,24,1,2,2,39,31,"Full Year",0,JP,88.941398865784,50.094517958412,57.466918714556,77.599243856333,0.98513557187478,3.7766046283096,0.64800130267685,5.1206478797209,95.752895752896,151.60875160875,53.846153846154,92.307692307692,64.529987970441
